NRO_DETECCION,FECHA_PAPELETA,REGION,CARRETERA,LATITUD,LONGITUD,LIMITE_VELOCIDAD,VELOCIDAD_DETECTADA,FECHA_CORTE,lat,lon
216,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,111,20211003,-11.44855556,-77.34245
217,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,106,20211003,-11.44855556,-77.34245
218,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,112,20211003,-11.44855556,-77.34245
219,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,123,20211003,-11.44855556,-77.34245
220,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,108,20211003,-11.44855556,-77.34245
221,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,132,20211003,-11.44855556,-77.34245
222,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,108,20211003,-11.44855556,-77.34245
223,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,118,20211003,-11.44855556,-77.34245
224,20191103,LIMA,Panamericana Norte,-11.44855556,-77.34245,100,119,20211003,-11.44855556,-77.34245
225,20191116,LIMA,Carretera Central,-11.90946944,-76.53928333,35,59,20211003,-11.90946944,-76.53928333
226,20191116,LIMA,Carretera Central,-11.90946944,-76.53928333,35,69,20211003,-11.90946944,-76.53928333
227,20191116,LIMA,Carretera Central,-11.90940833,-76.53944444,35,60,20211003,-11.90940833,-76.53944444
228,20191116,LIMA,Carretera Central,-11.90940833,-76.53944444,35,63,20211003,-11.90940833,-76.53944444
229,20191116,LIMA,Carretera Central,-11.90960278,-76.53930833,35,76,20211003,-11.90960278,-76.53930833
230,20191116,LIMA,Carretera Central,-11.90946667,-76.53941111,35,42,20211003,-11.90946667,-76.53941111
231,20191116,LIMA,Carretera Central,-11.90946944,-76.53895833,35,53,20211003,-11.90946944,-76.53895833
232,20191116,LIMA,Carretera Central,-11.90955556,-76.53923056,35,43,20211003,-11.90955556,-76.53923056
233,20191116,LIMA,Carretera Central,-11.91009444,-76.53856389,35,40,20211003,-11.91009444,-76.53856389
234,20191116,LIMA,Carretera Central,-11.90949444,-76.53915,35,83,20211003,-11.90949444,-76.53915
235,20191116,LIMA,Carretera Central,-11.90943889,-76.53909167,35,42,20211003,-11.90943889,-76.53909167
236,20191116,LIMA,Carretera Central,-11.90948333,-76.53956667,35,45,20211003,-11.90948333,-76.53956667
237,20191116,LIMA,Carretera Central,-11.90963611,-76.53916111,35,44,20211003,-11.90963611,-76.53916111
238,20191116,LIMA,Carretera Central,-11.90945833,-76.53928611,35,56,20211003,-11.90945833,-76.53928611
239,20191116,LIMA,Carretera Central,-11.90948889,-76.53931111,35,56,20211003,-11.90948889,-76.53931111
240,20191116,LIMA,Carretera Central,-11.90948889,-76.53931111,35,52,20211003,-11.90948889,-76.53931111
