id_tramo,lon_mid,lat_mid,dist_ingemmet_km,ingemmet_c5km,dist_peajes_km,dist_cinemometros_km,cinemometros_c2km,cinemometros_c10km
180,-72.90881097549993,-13.502514572999928,0.8755027053471688,4.0,47.35564683296782,272.18048986810527,0.0,0.0
181,-72.91564249549992,-13.484064342499948,0.4355744592890706,4.0,49.08290961964017,272.55189398176424,0.0,0.0
182,-72.89386767549993,-13.452055503499935,2.3017238362174273,4.0,53.189367328712045,276.3718657371814,0.0,0.0
183,-76.97119903949994,-9.203735455999919,1.1386209191522618,26.0,88.68321323965841,147.60295412165075,0.0,0.0
184,-77.01531018549994,-11.864853707999913,0.7490544615165063,55.0,19.116827990764175,18.601927113528173,0.0,0.0
185,-74.93096432449994,-15.259239256999933,11.611882074876283,0.0,22.64808193369187,65.86545749203955,0.0,0.0
186,-78.60710106449994,-6.897439316499941,4.476565964854864,1.0,98.36465785642943,111.77615946434143,0.0,0.0
187,-79.33750550849993,-7.31712444899992,0.7093349110975063,24.0,13.516832729876889,46.40491495824952,0.0,0.0
188,-80.65712808749993,-5.252699010999919,4.249440501786246,2.0,6.057725159610457,8.973718857884828,0.0,8.0
189,-77.2609602359999,-11.546784076499932,2.126450151854325,4.0,24.29865122767316,1.3285319296659899,1717.0,19386.0
190,-77.09694691549993,-9.366459479999918,1.750200003632279,23.0,66.0418195178711,129.98290016585523,0.0,0.0
191,-71.40806001349992,-15.524993117499918,0.5736754347918946,29.0,59.12939430259406,86.03766009151781,0.0,0.0
192,-79.69733497399992,-6.753423925499959,3.036029620261972,4.0,21.542938999678526,18.904145197777257,0.0,0.0
193,-78.52654822799994,-6.837564726999915,0.8619013605632095,1.0,105.91434630560828,121.45710199757384,0.0,0.0
194,-75.14952735849991,-15.336469728499935,4.642280883959552,1.0,3.194099524825897,71.56428350280969,0.0,0.0
195,-79.43427214599993,-6.661561646999928,0.8645036662454698,41.0,6.452409685994207,42.81754618262348,0.0,0.0
196,-69.57799525549993,-17.316373680499908,10.770959046325078,0.0,75.19904573385462,148.58591691962712,0.0,0.0
197,-69.54316192449991,-17.372174151499905,3.8834254059761433,1.0,82.32665268773034,155.277690460765,0.0,0.0
198,-71.36730612349993,-14.375288185999949,1.000531162370693,2.0,37.13438444715441,178.26912647833947,0.0,0.0
199,-80.96874378649991,-4.020587078499915,0.35319660647451045,5.0,11.385680709139036,105.6338992079743,0.0,0.0
200,-81.14252182199994,-4.331573255999928,1.3296432823723248,1.0,30.18555902556065,83.11461661734853,0.0,0.0
201,-80.4224026599999,-3.552618874999922,0.1784083192346887,17.0,69.2153754032557,155.95661997518903,0.0,0.0
202,-72.13598827849992,-14.286372677999935,2.281697350360478,2.0,107.14298104654253,224.06631217824943,0.0,0.0
203,-78.82012830099993,-7.293397668999916,0.6956144073644667,24.0,70.519981109369,74.80264172927724,0.0,0.0
204,-78.54816019999993,-6.842582138999944,2.1058476938248694,1.0,103.63480408781886,119.01406268979157,0.0,0.0
205,-78.55205409549993,-8.809511563499939,0.38837313350998215,10.0,26.91315531129781,10.877749945505663,0.0,2848.0
206,-79.81955860599993,-6.833883318499943,1.6012138203446706,16.0,20.471892184791503,6.261418682338912,0.0,994.0
207,-72.96807832499991,-13.69166881749993,0.22139600538837054,34.0,25.386500078022912,256.730327816182,0.0,0.0
208,-80.76880385849992,-5.419113517999932,2.579396119084215,2.0,22.249085295768737,19.242730452039112,0.0,0.0
209,-75.67402167749992,-13.331459836999954,0.27404665296824465,10.0,32.443124389741165,60.39804716885619,0.0,0.0
210,-75.78393931399992,-13.370728053499931,0.8523307990919718,8.0,34.89161593328093,47.94277178243253,0.0,0.0
211,-75.56486946949991,-13.827120054499915,0.7952395914067275,19.0,24.728853361556297,65.47066225970212,0.0,0.0
212,-79.46359215849992,-5.2719203374999495,0.7074364904174579,26.0,29.647660938854997,128.19250479593003,0.0,0.0
213,-79.51407867749992,-5.339907390499917,1.3889582778942868,7.0,20.97634716953107,122.44319318647793,0.0,0.0
214,-71.27023677349993,-15.022531246499938,6.549806569762155,0.0,66.39216394901783,119.52516401687917,0.0,0.0
215,-76.51614001649992,-11.398655306999927,0.9837794810839913,13.0,55.5961530576618,22.499878123622185,0.0,0.0
216,-76.61729456199993,-11.467978123999927,0.35044448121577226,46.0,45.845157075053784,9.242412707985807,0.0,1.0
217,-76.92444049699992,-11.699727575499935,1.2279049327921132,22.0,24.4702052845619,23.45144309404072,0.0,0.0
218,-76.65951151499993,-11.50255341399992,0.28825649749550036,75.0,42.59841891775631,4.168884268147398,0.0,1.0
219,-76.41922047699993,-11.124562310999949,1.228733746644852,5.0,62.79167158534968,51.222197133862096,0.0,0.0
220,-76.39186215349994,-11.065735902999933,2.0537623736030546,6.0,64.48662744725708,58.28091990074332,0.0,0.0
221,-71.64646716849992,-14.634783665999947,11.440205182800542,0.0,68.15290607209808,179.9734363459331,0.0,0.0
222,-76.77014558199991,-11.628585431499943,0.6584527206260271,35.0,37.46104096254188,16.756183722118813,0.0,0.0
223,-77.19006944699993,-11.492550092499954,2.1277212763406945,3.0,22.747435325960982,11.12765998891066,0.0,3619.0
224,-74.13383578249992,-13.036781392999927,0.7197159324699853,5.0,24.486519456309903,177.01642800224798,0.0,0.0
225,-76.57330921949992,-8.59784293049995,10.323782718077878,0.0,168.9900086146595,214.13293194869206,0.0,0.0
226,-77.12453054299993,-11.997542624999937,4.055004953972275,8.0,27.866423018523037,25.589269914653375,0.0,0.0
227,-77.1168069819999,-11.999761280999905,3.9125933672349698,10.0,28.187588727601167,25.96896348578334,0.0,0.0
228,-76.39993549449991,-8.402219379999934,6.205253712762614,0.0,194.7094963960256,241.0438718433001,0.0,0.0
229,-80.63650704499992,-4.823219569999907,1.7960860083861716,6.0,15.879447485073891,13.258253760250772,0.0,0.0
230,-71.38272599349995,-15.838112213499926,11.36093992105711,0.0,24.526663491893405,56.049647119295706,0.0,0.0
231,-77.11403950249993,-11.833019562999937,0.6370918092461417,41.0,10.03083489054398,8.560734435892641,0.0,996.0
232,-80.67381208849994,-4.859008192499942,0.30777283791830246,11.0,16.39549263765781,8.05104725215137,0.0,295.0
233,-77.11648522449991,-11.999673974999922,3.9230603708134892,11.0,28.181605187116066,25.965637033963166,0.0,0.0
234,-79.5696132244999,-6.737139555499937,1.64783075678592,11.0,11.044192750103715,27.804999379565988,0.0,0.0
235,-69.53290778399992,-17.524030608499913,13.042093818156202,0.0,96.52898627624123,155.54015590620338,0.0,0.0
236,-73.46415799999991,-15.241656999999947,3.0077723584921316,2.0,111.18694318529013,172.72772698697065,0.0,0.0
237,-80.54420274199992,-4.660834455999918,1.8200891661908052,5.0,30.433462605978352,34.00337160460834,0.0,0.0
238,-76.38414906399993,-10.347694120999932,0.9471796944720192,17.0,30.79967418269936,132.17304790990386,0.0,0.0
