fecha,anio,mes,dia_semana,hora3,fallecidos,CANTIDAD DE LESIONADOS,CLASE SINIESTRO,CAUSA FACTOR PRINCIPAL,SUPERFICIE DE CALZADA,TIPO DE VÍA,RED VIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,lat,lon,"('ruta',)",km_red
2021-01-17,2021,1,6,0,1,0,CAÍDA DE PASAJERO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,CALLAO,CALLAO,CALLAO,-12.05437213181773,-77.14261674714892,PE-20,15.527010522289808
2021-01-17,2021,1,6,0,1,1,CHOQUE FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AMAZONAS,BONGARA,CHURUJA,-6.022337627219859,-77.95092654049742,PE-08C,29.050455037560408
2021-01-17,2021,1,6,0,1,3,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,CHEPEN,PACANGA,-7.16757,-79.440498,PE-1N,713.1347815415631
2021-01-17,2021,1,6,0,1,1,CHOQUE,EN PROCESO DE INVESTIGACIÓN,CONCRETO,CARRETERA,NACIONAL,HUANUCO,LEONCIO PRADO,LUYANDO,-9.267493,-75.989647,PE-18A,127.15038791078427
2021-01-18,2021,1,0,0,3,0,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,AFIRMADO,CARRETERA,NACIONAL,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,-8.746876,-76.16051,PE-5N,548.9208641516772
2021-01-18,2021,1,0,0,1,7,CHOQUE,NEGLIGENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,CUSCO,QUISPICANCHI,CCATCA,-13.623972,-71.58057,PE-30C,18.81022324255064
2021-01-18,2021,1,0,0,2,2,CHOQUE,NEGLIGENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PUNO,SAN ROMAN,SAN MIGUEL,-15.4318244,-70.1419972,PE-3S,1309.6221175116184
2021-01-19,2021,1,1,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,JUNIN,JAUJA,PARCO,-11.7990963,-75.5462135,PE-3S,67.00998297360061
2021-01-19,2021,1,1,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,LAMBAYEQUE,OLMOS,-5.798397,-79.835812,PE-1NJ,114.7336006108512
2021-01-19,2021,1,1,0,1,0,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,CUSCO,QUISPICANCHI,CAMANTI,-13.185256374970326,-70.42503835104611,PE-30C,237.49969590833268
2021-01-19,2021,1,1,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,CARAVELI,CHALA,-15.848355,-74.258278,PE-1S,612.4484256970338
2021-01-19,2021,1,1,0,1,1,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,ICA,ICA,SALAS,-14.001949,-75.767842,PE-1S,289.04222429465653
2021-01-21,2021,1,3,0,1,3,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PIURA,MORROPON,BUENOS AIRES,-5.283625,-79.9524199,PE-02A,22.417540197002698
2021-01-21,2021,1,3,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,JUNIN,JUNIN,CARHUAMAYO,-10.9409313,-76.0498808,PE-3N,80.7911209883035
2021-01-21,2021,1,3,0,1,3,DESPISTE,NEGLIGENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,ICA,ICA,SANTIAGO,-14.33265468433435,-75.664020917132,PE-1S,329.22556577225606
2021-01-21,2021,1,3,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,PIURA,SULLANA,SULLANA,-4.911118771722453,-80.69726784119618,PE-1N,1029.7995566778743
2021-01-21,2021,1,3,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,JUNIN,HUANCAYO,CHILCA,-12.0831302,-75.2030827,PE-3SC,0.6593604192578221
2021-01-22,2021,1,4,0,1,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO,-16.3180079,-71.6027605,PE-34A,47.15036496038967
