id,ruta,km0,km1,region,siniestros,fallecidos,onsv_n,sutran_n,ositran_n,siniestros_km,pred_km,eb_km,exceso_eb,exceso_relativo,p95_region,fuente_dominante,criterios,lat,lon
758,PE-22,28.912,29.336,SIERRA,8,1,1,7,0,18.86792452830191,18.86792452830191,18.86792452830191,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.966403961499935,-76.74411869049993
767,PE-36A,124.836,124.839,SIERRA,6,100000,0,6,0,1999.9999999999243,1999.9999999999243,1999.9999999999243,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.882664637999937,-70.44756823199992
771,PE-1N,33.074,33.619,COSTA,10,2,2,6,2,18.348623853210952,18.348623853210952,18.348623853210952,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.848574448999926,-77.09459858749995
774,PE-1N,0.0,0.533,COSTA,18,13,7,9,2,33.771106941838646,33.771106941838646,33.771106941838646,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-12.056164665999916,-76.97416295899993
810,PE-34A,124.061,124.47,SIERRA,8,101,1,5,2,19.55990220048939,19.55990220048939,19.55990220048939,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.045483328499927,-71.32334167249991
844,PE-10,0.0,0.058,COSTA,4,0,0,4,0,68.9655172413793,68.9655172413793,68.9655172413793,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-8.17553722349993,-78.99668540949995
845,PE-3N,151.092,151.095,SIERRA,4,0,0,4,0,1333.3333333395988,1333.3333333395988,1333.3333333395988,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-10.563053751999943,-76.19289021599994
855,PE-1S,184.559,185.033,COSTA,17,1,1,15,1,35.86497890295438,35.86497890295438,35.86497890295438,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-13.403859289999929,-76.19368086249992
899,PE-1S,941.661,948.055,SIERRA,34,1000000025,5,10,19,5.317485142320922,5.317485142320922,5.317485142320922,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.459099073499914,-71.94409843299994
901,PE-1S,956.343,963.204,SIERRA,39,10017,14,5,20,5.684302579798872,5.684302579798872,5.684302579798872,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.50299226249993,-71.83362413499992
509,PE-34A,35.922,38.781,SIERRA,21,10,8,2,11,7.345225603357813,7.345225603357813,7.345225603357813,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.39376079449994,-71.58078079449993
1015,PE-1S,238.619,238.832,COSTA,3,0,0,2,1,14.084507042253927,14.084507042253927,14.084507042253927,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-13.821324568499932,-76.14410223949994
1016,PE-1S,65.391,65.887,COSTA,7,0,0,6,1,14.11290322580659,14.11290322580659,14.11290322580659,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-12.530277056499926,-76.72252080199993
